"","Country","X2015","X2010","X2005","X2000","NA.","population","GDP..BILLIONS.","CODE"
"1","Afghanistan",0.06,1000,1000,500,500,32527,21.71,"AFG"
"2","Albania",0,0,0,0,0,2889,13.4,"ALB"
"3","Algeria",0.02,500,1000,1000,500,39667,227.8,"DZA"
"4","Andorra",0,0,0,0,0,56,4.8,"AND"
"5","Angola",1.86,26000,28000,26000,21000,70,131.4,"AGO"
"6","AntiguaandBarbuda",0,0,0,0,0,25022,1.24,"ATG"
"7","Argentina",0.23,5100,5300,5500,5600,92,536.2,"ARG"
"8","Armenia",0.26,500,500,500,500,43417,10.88,"ARM"
"9","Australia",0.1,1200,1100,1100,1000,3018,1483,"AUS"
"10","Austria",0,0,0,0,0,104,436.1,"AUT"
"11","Azerbaijan",0.2,1200,1000,1000,500,23790,77.91,"AZE"
"12","Bahamas",2.26,500,500,500,500,8638,NA,NA
"13","Bahrain",0,0,0,0,0,9649,34.05,"BHR"
"14","Bangladesh",0.01,1100,1400,1100,500,388,186.6,"BGD"
"15","Barbados",1.19,200,200,200,200,1377,4.28,"BRB"
"16","Belarus",1.05,5300,2600,2400,1700,160996,75.25,"BLR"
"17","Belgium",0,0,0,0,0,284,527.8,"BEL"
"18","Belize",0.82,200,200,500,500,9490,1.67,"BLZ"
"19","Benin",0.69,4200,4400,5200,7200,11249,9.24,"BEN"
"20","Bhutan",0,0,0,0,0,359,2.09,"BTN"
"21","Bolivia(PlurinationalStateof)",0.24,1300,1500,1200,1100,10880,NA,NA
"22","BosniaandHerzegovina",0,0,0,0,0,65,19.55,"BIH"
"23","Botswana",9.37,9700,12000,15000,24000,775,16.3,"BWA"
"24","Brazil",0.39,44000,43000,42000,39000,10725,2244,"BRA"
"25","BruneiDarussalam",0,0,0,0,0,3810,NA,NA
"26","Bulgaria",0,0,0,0,0,2262,55.08,"BGR"
"27","BurkinaFaso",0.45,4200,5000,5300,7600,207848,13.38,"BFA"
"28","Burundi",0.18,1200,3100,5600,13000,30,3.04,"BDI"
"29","C̫ted'Ivoire",1.88,25000,26000,33000,52000,423,NA,NA
"30","CaboVerde",0.6,200,200,500,500,7178,1.98,"CPV"
"31","Cambodia",0.08,1000,1700,4400,10000,18106,16.9,"KHM"
"32","Cameroon",3.57,44000,45000,48000,54000,11179,32.16,"CMR"
"33","Canada",0,0,0,0,0,521,1794,"CAN"
"34","CentralAfricanRepublic",2.4,7000,7700,8700,16000,15578,1.73,"CAF"
"35","Chad",1.02,8300,11000,18000,21000,23344,15.84,"TCD"
"36","Chile",0.19,1800,1700,1600,1400,35849,264.1,"CHL"
"37","China",0,0,0,0,0,60,10360,"CHN"
"38","Colombia",0.39,11000,10000,9200,7600,4900,400.1,"COL"
"39","Comoros",0,0,0,0,0,14037,0.72,"COM"
"40","Congo",0,0,0,0,0,164,NA,NA
"41","CookIslands",0,0,0,0,0,17948,0.18,"COK"
"42","CostaRica",0.24,1000,1000,1000,500,1371220,50.46,"CRI"
"43","Croatia",0,0,0,0,0,48229,57.18,"HRV"
"44","Cuba",0.48,3100,1700,1000,500,788,77.15,"CUB"
"45","Cyprus",0,0,0,0,0,77267,21.34,"CYP"
"46","Czechia",0,0,0,0,0,4620,NA,NA
"47","DemocraticPeople'sRepublicofKorea",0,0,0,0,0,4808,NA,NA
"48","DemocraticRepublicoftheCongo",0.34,15000,23000,41000,56000,22702,NA,NA
"49","Denmark",0,0,0,0,0,4204,347.2,"DNK"
"50","Djibouti",1.09,1000,1000,1000,1500,11390,1.58,"DJI"
"51","Dominica",0,0,0,0,0,158,0.51,"DMA"
"52","DominicanRepublic",0.36,2000,2300,4200,10000,1165,64.05,"DOM"
"53","Ecuador",0.15,1300,1500,2000,2200,10546,100.5,"ECU"
"54","Egypt",0.03,1500,1000,1000,500,5683,284.9,"EGY"
"55","ElSalvador",0.15,1000,1100,1700,1900,888,25.14,"SLV"
"56","EquatorialGuinea",0.24,500,2300,3600,1800,73,15.4,"GNQ"
"57","Eritrea",0.21,1000,500,1000,1600,10528,3.87,"ERI"
"58","Estonia",0,0,0,0,0,2279147,26.36,"EST"
"59","Ethiopia",0,0,0,0,0,16144,49.86,"ETH"
"60","Fiji",0,0,0,0,0,91508,4.17,"FJI"
"61","Finland",0,0,0,0,0,6127,276.3,"FIN"
"62","France",0,0,0,0,0,845,2902,"FRA"
"63","Gabon",1.39,1500,2300,3900,5400,5228,20.68,"GAB"
"64","Gambia",1.24,1400,1600,2000,2200,1315,NA,NA
"65","Georgia",0.5,1100,1000,1000,500,99391,16.13,"GEO"
"66","Germany",0,0,0,0,0,907791,3820,"DEU"
"67","Ghana",0.77,13000,18000,23000,30000,48,35.48,"GHA"
"68","Greece",0.19,1000,1000,1000,1000,892,246.4,"GRC"
"69","Grenada",0,0,0,0,0,5480,0.84,"GRD"
"70","Guatemala",0.41,3700,3000,4400,3800,66538,58.3,"GTM"
"71","Guinea",1.18,7600,9400,9400,9000,283,6.77,"GIN"
"72","Guinea-Bissau",0,0,0,0,0,1725,1.04,"GNB"
"73","Guyana",0.88,500,500,1000,1000,1991,3.14,"GUY"
"74","Haiti",0.21,1500,3700,11000,26000,3717,8.92,"HTI"
"75","Honduras",0.1,500,1000,1000,1600,81680,19.37,"HND"
"76","Hungary",0,0,0,0,0,27410,129.7,"HUN"
"77","Iceland",0,0,0,0,0,32,16.2,"ISL"
"78","India",0.11,86000,1e+05,150000,250000,10821,2048,"IND"
"79","Indonesia",0.5,73000,69000,58000,14000,56,856.1,"IDN"
"80","Iran(IslamicRepublicof)",0.14,7100,6600,5900,5500,107,NA,NA
"81","Iraq",0,0,0,0,0,170,232.2,"IRQ"
"82","Ireland",0,0,0,0,0,16343,245.8,"IRL"
"83","Israel",0,0,0,0,0,12609,305,"ISR"
"84","Italy",0.16,4500,4700,4800,8400,1844,2129,"ITA"
"85","Jamaica",1.07,1700,1600,2000,2600,767,13.92,"JAM"
"86","Japan",0,0,0,0,0,10711,4770,"JPN"
"87","Jordan",0,0,0,0,0,1187093,36.55,"JOR"
"88","Kazakhstan",0.36,3700,1900,1200,1000,8075,225.6,"KAZ"
"89","Kenya",3.52,78000,83000,72000,80000,7306,62.72,"KEN"
"90","Kiribati",0,0,0,0,0,9843,0.16,"KIR"
"91","Kuwait",0,0,0,0,0,331,179.3,"KWT"
"92","Kyrgyzstan",0.28,1000,1000,1000,500,1311051,7.65,"KGZ"
"93","LaoPeople'sDemocraticRepublic",0,0,0,0,0,257564,NA,NA
"94","Latvia",0.53,500,1000,1000,1000,79109,32.82,"LVA"
"95","Lebanon",0.05,200,200,200,100,36423,47.5,"LBN"
"96","Lesotho",18.8,18000,19000,25000,27000,4644,2.46,"LSO"
"97","Liberia",0.56,1600,1700,2500,4500,88,2.07,"LBR"
"98","Libya",0,0,0,0,0,8380,49.34,"LBY"
"99","Lithuania",0,0,0,0,0,60731,48.72,"LTU"
"100","Luxembourg",0,0,0,0,0,2793,63.93,"LUX"
"101","Madagascar",0.5,6300,3300,2400,6900,126958,11.19,"MDG"
"102","Malawi",3.82,33000,56000,76000,97000,7595,4.41,"MWI"
"103","Malaysia",0.27,5200,8500,11000,13000,17544,336.9,"MYS"
"104","Maldives",0,0,0,0,0,46050,2.41,"MDV"
"105","Mali",1.05,10000,9700,8900,8400,112,12.04,"MLI"
"106","Malta",0,0,0,0,0,25155,10.57,"MLT"
"107","MarshallIslands",0,0,0,0,0,50617,0.18,"MHL"
"108","Mauritania",0.28,1000,1000,1200,1600,1802,4.29,"MRT"
"109","Mauritius",0.42,500,1000,1000,1200,3892,12.72,"MUS"
"110","Mexico",0.16,11000,10000,9600,9500,5957,1296,"MEX"
"111","Micronesia(FederatedStatesof)",0,0,0,0,0,6802,NA,NA
"112","Monaco",0,0,0,0,0,633026,6.06,"MCO"
"113","Mongolia",0.03,100,100,100,100,1978,11.73,"MNG"
"114","Montenegro",0,0,0,0,0,5851,4.66,"MNE"
"115","Morocco",0.07,1200,1800,2100,2100,2135,112.6,"MAR"
"116","Mozambique",7.07,81000,130000,130000,120000,4503,16.59,"MOZ"
"117","Myanmar",0.41,12000,15000,24000,37000,6278,NA,NA
"118","Namibia",6.79,7800,9200,13000,21000,38,13.11,"NAM"
"119","Nauru",0,0,0,0,0,2905,NA,NA
"120","Nepal",0.08,1300,2300,5400,7500,638286,19.64,"NPL"
"121","Netherlands",0,0,0,0,0,2927469,880.4,"NLD"
"122","NewZealand",0,0,0,0,0,570,201,"NZL"
"123","Nicaragua",0.23,1000,1000,500,1000,588,11.85,"NIC"
"124","Niger",0.19,2400,1900,4300,8700,2078,8.29,"NER"
"125","Nigeria",0,0,0,0,0,24235,594.3,"NGA"
"126","Niue",0,0,0,0,0,17215,0.01,"NIU"
"127","Norway",0,0,0,0,0,30331,511.6,"NOR"
"128","Oman",0,0,0,0,0,409,80.54,"OMN"
"129","Pakistan",0.16,17000,11000,4000,1600,17600,237.5,"PAK"
"130","Palau",0,0,0,0,0,432,0.65,"PLW"
"131","Panama",0.48,1000,1000,1000,1000,53,44.69,"PAN"
"132","PapuaNewGuinea",0.54,2700,2400,2900,4600,4068,16.1,"PNG"
"133","Paraguay",0.3,1100,1200,1400,1500,1263,31.3,"PRY"
"134","Peru",0.17,2800,3100,4100,5100,127017,208.2,"PER"
"135","Philippines",0.12,6400,4200,1100,1000,104,284.6,"PHL"
"136","Poland",0,0,0,0,0,424211,552.2,"POL"
"137","Portugal",0,0,0,0,0,3554,228.2,"PRT"
"138","Qatar",0,0,0,0,0,38,212,"QAT"
"139","RepublicofKorea",0,0,0,0,0,2959,NA,NA
"140","RepublicofMoldova",0.55,1400,1800,1600,1500,622,NA,NA
"141","Romania",0,0,0,0,0,34378,199,"ROU"
"142","RussianFederation",0,0,0,0,0,27978,NA,NA
"143","Rwanda",1.41,7500,9000,12000,16000,53897,8,"RWA"
"144","SaintKittsandNevis",0,0,0,0,0,2459,0.81,"KNA"
"145","SaintLucia",0,0,0,0,0,12,1.35,"LCA"
"146","SaintVincentandtheGrenadines",0,0,0,0,0,28514,0.75,"VCT"
"147","Samoa",0,0,0,0,0,16940,0.83,"WSM"
"148","SanMarino",0,0,0,0,0,273,1.86,"SMR"
"149","SaoTomeandPrincipe",0,0,0,0,0,4596,0.36,"STP"
"150","SaudiArabia",0,0,0,0,0,6082,777.9,"SAU"
"151","Senegal",0.14,1600,1600,4700,6600,19899,15.88,"SEN"
"152","Serbia",0,0,0,0,0,182202,42.65,"SRB"
"153","Seychelles",0,0,0,0,0,357333,1.47,"SYC"
"154","SierraLeone",0.69,2500,4000,6400,5100,55,5.41,"SLE"
"155","Singapore",0,0,0,0,0,5190,307.9,"SGP"
"156","Slovakia",0,0,0,0,0,4491,99.75,"SVK"
"157","Slovenia",0,0,0,0,0,188925,49.93,"SVN"
"158","SolomonIslands",0,0,0,0,0,21,1.16,"SLB"
"159","Somalia",0.48,3000,2800,3000,3300,3929,2.37,"SOM"
"160","SouthAfrica",14.4,380000,350000,470000,790000,7619,341.2,"ZAF"
"161","SouthSudan",0,15000,15000,14000,15000,6639,11.89,"SSD"
"162","Spain",0.14,3000,3600,2700,2800,31377,1400,"ESP"
"163","SriLanka",0.05,1000,500,500,200,100699,71.57,"LKA"
"164","Sudan",0,5600,5400,4600,2700,37986,70.03,"SDN"
"165","Suriname",0.62,200,200,500,500,10358,5.27,"SUR"
"166","Swaziland",23.6,11000,15000,14000,16000,3474,3.84,"SWZ"
"167","Sweden",0,0,0,0,0,2235,559.1,"SWE"
"168","Switzerland",0,0,0,0,0,19815,679,"CHE"
"169","SyrianArabRepublic",0,0,0,0,0,144097,NA,NA
"170","Tajikistan",0.33,1600,1600,1200,1000,11610,9.16,"TJK"
"171","Thailand",0.2,6900,12000,18000,31000,193,373.8,"THA"
"172","TheformerYugoslavrepublicofMacedonia",0,0,0,0,0,32,NA,NA
"173","Timor-Leste",0,0,0,0,0,190,4.51,"TLS"
"174","Togo",1.21,4400,5100,9500,17000,31540,4.84,"TGO"
"175","Tonga",0,0,0,0,0,15129,0.49,"TON"
"176","TrinidadandTobago",0.52,500,1000,1000,1000,7095,29.63,"TTO"
"177","Tunisia",0.04,500,500,200,100,93,49.12,"TUN"
"178","Turkey",0,0,0,0,0,6453,813.3,"TUR"
"179","Turkmenistan",0,0,0,0,0,5535,43.5,"TKM"
"180","Tuvalu",0,0,0,0,0,39,0.04,"TUV"
"181","Uganda",5.12,83000,130000,1e+05,72000,5424,26.09,"UGA"
"182","Ukraine",0.68,16000,9500,21000,36000,2064,134.9,"UKR"
"183","UnitedArabEmirates",0,0,0,0,0,584,416.4,"ARE"
"184","UnitedKingdomofGreatBritainandNorthernIreland",0,0,0,0,0,10787,NA,NA
"185","UnitedRepublicofTanzania",2.11,54000,82000,110000,130000,55012,NA,NA
"186","UnitedStatesofAmerica",0,0,0,0,0,1744161,NA,NA
"187","Uruguay",0.27,500,1000,1000,1000,12340,55.6,"URY"
"188","Uzbekistan",0.02,500,1000,6600,7700,46444,63.08,"UZB"
"189","Vanuatu",0,0,0,0,0,20966,0.82,"VUT"
"190","Venezuela(BolivarianRepublicof)",0.33,5600,6000,6600,7100,56,NA,NA
"191","VietNam",0.28,14000,19000,25000,26000,185,NA,NA
"192","Yemen",0.07,1000,1000,1000,500,32,45.45,"YEM"
"193","Zambia",8.55,60000,73000,81000,90000,109,25.61,"ZMB"
"194","Zimbabwe",8.84,64000,79000,87000,120000,1001037,13.74,"ZWE"
"195","AmericanSamoa",NA,NA,NA,NA,NA,NA,0.75,"ASM"
"196","Anguilla",NA,NA,NA,NA,NA,NA,0.18,"AIA"
"197","Aruba",NA,NA,NA,NA,NA,NA,2.52,"ABW"
"198","Bahamas,The",NA,NA,NA,NA,NA,NA,8.65,"BHM"
"199","Bermuda",NA,NA,NA,NA,NA,NA,5.2,"BMU"
"200","Bolivia",NA,NA,NA,NA,NA,NA,34.08,"BOL"
"201","BritishVirginIslands",NA,NA,NA,NA,NA,NA,1.1,"VGB"
"202","Brunei",NA,NA,NA,NA,NA,NA,17.43,"BRN"
"203","Burma",NA,NA,NA,NA,NA,NA,65.29,"MMR"
"204","CaymanIslands",NA,NA,NA,NA,NA,NA,2.25,"CYM"
"205","Congo,DemocraticRepublicofthe",NA,NA,NA,NA,NA,NA,32.67,"COD"
"206","Congo,Republicofthe",NA,NA,NA,NA,NA,NA,14.11,"COG"
"207","Coted'Ivoire",NA,NA,NA,NA,NA,NA,33.96,"CIV"
"208","Curacao",NA,NA,NA,NA,NA,NA,5.6,"CUW"
"209","CzechRepublic",NA,NA,NA,NA,NA,NA,205.6,"CZE"
"210","FalklandIslands(IslasMalvinas)",NA,NA,NA,NA,NA,NA,0.16,"FLK"
"211","FaroeIslands",NA,NA,NA,NA,NA,NA,2.32,"FRO"
"212","FrenchPolynesia",NA,NA,NA,NA,NA,NA,7.15,"PYF"
"213","Gambia,The",NA,NA,NA,NA,NA,NA,0.92,"GMB"
"214","Gibraltar",NA,NA,NA,NA,NA,NA,1.85,"GIB"
"215","Greenland",NA,NA,NA,NA,NA,NA,2.16,"GRL"
"216","Guam",NA,NA,NA,NA,NA,NA,4.6,"GUM"
"217","Guernsey",NA,NA,NA,NA,NA,NA,2.74,"GGY"
"218","HongKong",NA,NA,NA,NA,NA,NA,292.7,"HKG"
"219","Iran",NA,NA,NA,NA,NA,NA,402.7,"IRN"
"220","IsleofMan",NA,NA,NA,NA,NA,NA,4.08,"IMN"
"221","Jersey",NA,NA,NA,NA,NA,NA,5.77,"JEY"
"222","Korea,North",NA,NA,NA,NA,NA,NA,28,"KOR"
"223","Korea,South",NA,NA,NA,NA,NA,NA,1410,"PRK"
"224","Kosovo",NA,NA,NA,NA,NA,NA,5.99,"KSV"
"225","Laos",NA,NA,NA,NA,NA,NA,11.71,"LAO"
"226","Liechtenstein",NA,NA,NA,NA,NA,NA,5.11,"LIE"
"227","Macau",NA,NA,NA,NA,NA,NA,51.68,"MAC"
"228","Macedonia",NA,NA,NA,NA,NA,NA,10.92,"MKD"
"229","Micronesia,FederatedStatesof",NA,NA,NA,NA,NA,NA,0.34,"FSM"
"230","Moldova",NA,NA,NA,NA,NA,NA,7.74,"MDA"
"231","NewCaledonia",NA,NA,NA,NA,NA,NA,11.1,"NCL"
"232","NorthernMarianaIslands",NA,NA,NA,NA,NA,NA,1.23,"MNP"
"233","PuertoRico",NA,NA,NA,NA,NA,NA,93.52,"PRI"
"234","Russia",NA,NA,NA,NA,NA,NA,2057,"RUS"
"235","SaintMartin",NA,NA,NA,NA,NA,NA,0.56,"MAF"
"236","SaintPierreandMiquelon",NA,NA,NA,NA,NA,NA,0.22,"SPM"
"237","SintMaarten",NA,NA,NA,NA,NA,NA,304.1,"SXM"
"238","Syria",NA,NA,NA,NA,NA,NA,64.7,"SYR"
"239","Taiwan",NA,NA,NA,NA,NA,NA,529.5,"TWN"
"240","Tanzania",NA,NA,NA,NA,NA,NA,36.62,"TZA"
"241","UnitedKingdom",NA,NA,NA,NA,NA,NA,2848,"GBR"
"242","UnitedStates",NA,NA,NA,NA,NA,NA,17420,"USA"
"243","Venezuela",NA,NA,NA,NA,NA,NA,209.2,"VEN"
"244","Vietnam",NA,NA,NA,NA,NA,NA,187.8,"VNM"
"245","VirginIslands",NA,NA,NA,NA,NA,NA,5.08,"VGB"
"246","WestBank",NA,NA,NA,NA,NA,NA,6.64,"WBG"
